iter	Passed	Remaining
411	3641	5196
412	3648	5185
413	3655	5174
414	3663	5164
415	3671	5153
416	3678	5142
417	3685	5131
418	3693	5121
419	3700	5110
420	3708	5099
421	3715	5088
422	3723	5079
423	3730	5068
424	3738	5057
425	3745	5047
426	3753	5036
427	3760	5025
428	3768	5015
429	3776	5006
430	3784	4996
431	3793	4987
432	3802	4978
433	3809	4968
434	3817	4958
435	3825	4949
436	3833	4939
437	3842	4929
438	3850	4920
439	3859	4911
440	3867	4902
441	3875	4892
442	3882	4882
443	3891	4873
444	3899	4863
445	3906	4852
446	3913	4841
447	3921	4831
448	3928	4821
449	3937	4811
450	3944	4802
451	3952	4792
452	3960	4781
453	3968	4772
454	3976	4762
455	3984	4752
456	3991	4743
457	4000	4734
458	4008	4724
459	4015	4714
460	4023	4704
461	4031	4694
462	4039	4685
463	4047	4675
464	4055	4665
465	4062	4655
466	4069	4644
467	4077	4635
468	4084	4624
469	4092	4614
470	4099	4604
471	4106	4593
472	4113	4583
473	4121	4573
474	4129	4564
475	4136	4553
476	4144	4543
477	4151	4533
478	4158	4522
479	4166	4513
480	4173	4503
481	4180	4493
482	4188	4482
483	4195	4472
484	4203	4463
485	4210	4452
486	4217	4442
487	4225	4432
488	4232	4422
489	4239	4412
490	4247	4402
491	4255	4393
492	4262	4383
493	4269	4373
494	4276	4362
495	4290	4359
496	4307	4359
497	4316	4350
498	4325	4342
499	4332	4332
500	4339	4322
501	4347	4312
502	4354	4302
503	4362	4293
504	4370	4283
505	4376	4273
506	4384	4263
507	4391	4253
508	4398	4243
509	4406	4233
510	4414	4224
511	4421	4214
512	4428	4203
513	4435	4193
514	4442	4183
515	4449	4173
516	4457	4164
517	4465	4154
518	4473	4145
519	4481	4136
520	4488	4126
521	4496	4117
522	4503	4107
523	4511	4097
524	4518	4087
525	4525	4077
526	4532	4067
527	4540	4058
528	4548	4049
529	4555	4039
530	4562	4030
531	4571	4021
532	4578	4011
533	4585	4001
534	4592	3991
535	4599	3981
536	4607	3972
537	4614	3963
538	4622	3953
539	4629	3943
540	4636	3934
541	4644	3924
542	4652	3915
543	4659	3905
544	4666	3896
545	4674	3886
546	4681	3877
547	4688	3867
548	4696	3858
549	4703	3848
550	4710	3838
551	4717	3829
552	4724	3819
553	4731	3809
554	4738	3799
555	4746	3790
556	4753	3780
557	4760	3771
558	4768	3761
559	4775	3752
560	4782	3742
561	4790	3733
562	4797	3723
563	4804	3714
564	4812	3705
565	4823	3698
566	4832	3690
567	4840	3681
568	4848	3672
569	4855	3663
570	4863	3654
571	4871	3644
572	4878	3635
573	4886	3626
574	4893	3617
575	4901	3607
576	4908	3598
577	4915	3588
578	4923	3579
579	4930	3570
580	4937	3560
581	4944	3551
582	4951	3541
583	4958	3532
584	4965	3522
585	4973	3513
586	4980	3504
587	4988	3495
588	4995	3485
589	5002	3476
590	5010	3467
591	5016	3457
592	5024	3448
593	5032	3439
594	5040	3430
595	5047	3421
596	5054	3411
597	5061	3402
598	5069	3393
599	5076	3384
600	5084	3375
601	5097	3370
602	5104	3360
603	5112	3351
604	5119	3342
605	5126	3333
606	5134	3324
607	5141	3314
608	5148	3305
609	5155	3296
610	5162	3286
611	5169	3277
612	5177	3268
613	5184	3259
614	5191	3250
615	5199	3241
616	5207	3232
617	5214	3223
618	5221	3213
619	5228	3204
620	5235	3195
621	5243	3186
622	5251	3177
623	5257	3168
624	5265	3159
625	5273	3150
626	5280	3141
627	5288	3132
628	5295	3123
629	5302	3114
630	5309	3105
631	5317	3096
632	5324	3087
633	5331	3077
634	5339	3068
635	5347	3060
636	5354	3051
637	5361	3042
638	5368	3032
639	5375	3023
640	5382	3014
641	5389	3005
642	5396	2996
643	5404	2987
644	5411	2978
645	5419	2969
646	5426	2960
647	5434	2952
648	5442	2943
649	5449	2934
650	5456	2925
651	5463	2915
652	5470	2907
653	5477	2897
654	5485	2889
655	5492	2880
656	5500	2871
657	5507	2862
658	5514	2853
659	5522	2845
660	5531	2836
661	5538	2827
662	5545	2818
663	5552	2809
664	5559	2800
665	5567	2792
666	5574	2783
667	5582	2774
668	5589	2765
669	5596	2756
670	5603	2747
671	5610	2738
672	5617	2729
673	5624	2720
674	5632	2712
675	5640	2703
676	5647	2694
677	5654	2685
678	5662	2676
679	5670	2668
680	5677	2659
681	5685	2651
682	5693	2642
683	5700	2633
684	5708	2624
685	5715	2616
686	5722	2607
687	5730	2598
688	5737	2589
689	5744	2581
690	5751	2572
691	5759	2563
692	5766	2554
693	5774	2546
694	5781	2537
695	5788	2528
696	5795	2519
697	5802	2510
698	5810	2501
699	5817	2493
700	5824	2484
701	5831	2475
702	5838	2466
703	5846	2458
704	5853	2449
705	5861	2440
706	5868	2432
707	5875	2423
708	5883	2414
709	5890	2405
710	5897	2397
711	5905	2388
712	5913	2380
713	5920	2371
714	5929	2363
715	5936	2354
716	5944	2346
717	5951	2337
718	5959	2329
719	5968	2320
720	5976	2312
721	5985	2304
722	5993	2296
723	6001	2287
724	6009	2279
725	6017	2270
726	6026	2262
727	6034	2254
728	6042	2246
729	6050	2237
730	6058	2229
731	6066	2221
732	6074	2212
733	6082	2204
734	6090	2195
735	6098	2187
736	6106	2179
737	6114	2170
738	6122	2162
739	6130	2153
740	6137	2145
741	6146	2137
742	6154	2128
743	6162	2120
744	6170	2112
745	6178	2103
746	6185	2095
747	6193	2086
748	6201	2078
749	6208	2069
750	6215	2060
751	6223	2052
752	6230	2043
753	6237	2034
754	6244	2026
755	6252	2017
756	6259	2009
757	6267	2000
758	6274	1992
759	6282	1984
760	6290	1975
761	6301	1968
762	6309	1959
763	6316	1951
764	6324	1942
765	6332	1934
766	6340	1926
767	6347	1917
768	6355	1909
769	6362	1900
770	6369	1891
771	6376	1883
772	6383	1874
773	6391	1866
774	6398	1857
775	6405	1849
776	6413	1840
777	6420	1832
778	6428	1823
779	6435	1815
780	6442	1806
781	6450	1798
782	6457	1789
783	6465	1781
784	6472	1772
785	6480	1764
786	6487	1755
787	6494	1747
788	6502	1738
789	6509	1730
790	6517	1721
791	6525	1713
792	6532	1705
793	6539	1696
794	6547	1688
795	6555	1679
796	6563	1671
797	6570	1663
798	6577	1654
799	6585	1646
800	6593	1638
801	6601	1629
802	6609	1621
803	6616	1612
804	6624	1604
805	6631	1596
806	6638	1587
807	6646	1579
808	6654	1570
809	6662	1562
810	6669	1554
811	6678	1546
812	6686	1537
813	6693	1529
814	6701	1521
815	6708	1512
816	6716	1504
817	6724	1496
818	6731	1487
819	6739	1479
820	6747	1471
821	6756	1463
822	6764	1454
823	6773	1446
824	6780	1438
825	6788	1430
826	6795	1421
827	6802	1413
828	6811	1404
829	6818	1396
830	6827	1388
831	6838	1380
832	6848	1372
833	6855	1364
834	6862	1356
835	6871	1348
836	6878	1339
837	6886	1331
838	6893	1322
839	6901	1314
840	6908	1306
841	6915	1297
842	6923	1289
843	6930	1281
844	6937	1272
845	6944	1264
846	6953	1256
847	6960	1247
848	6968	1239
849	6975	1230
850	6982	1222
851	6989	1214
852	6996	1205
853	7004	1197
854	7012	1189
855	7019	1180
856	7027	1172
857	7035	1164
858	7042	1156
859	7049	1147
860	7057	1139
861	7064	1131
862	7072	1122
863	7080	1114
864	7088	1106
865	7095	1097
866	7104	1089
867	7111	1081
868	7120	1073
869	7128	1065
870	7135	1056
871	7143	1048
872	7153	1040
873	7161	1032
874	7170	1024
875	7180	1016
876	7187	1008
877	7196	1000
878	7204	991
879	7212	983
880	7220	975
881	7228	967
882	7236	958
883	7244	950
884	7251	942
885	7259	934
886	7266	925
887	7273	917
888	7282	909
889	7289	900
890	7297	892
891	7304	884
892	7312	876
893	7319	867
894	7327	859
895	7335	851
896	7342	843
897	7350	834
898	7357	826
899	7372	819
900	7387	811
901	7413	805
902	7428	797
903	7437	789
904	7445	781
905	7453	773
906	7462	765
907	7471	756
908	7479	748
909	7486	740
910	7494	732
911	7504	724
912	7513	715
913	7520	707
914	7528	699
915	7535	691
916	7543	682
917	7551	674
918	7558	666
919	7566	657
920	7574	649
921	7582	641
922	7590	633
923	7597	624
924	7605	616
925	7612	608
926	7620	600
927	7627	591
928	7635	583
929	7642	575
930	7649	566
931	7657	558
932	7664	550
933	7672	542
934	7679	533
935	7686	525
936	7694	517
937	7708	509
938	7715	501
939	7723	493
940	7731	484
941	7739	476
942	7747	468
943	7756	460
944	7765	451
945	7773	443
946	7782	435
947	7791	427
948	7800	419
949	7809	411
950	7821	402
951	7844	395
952	7853	387
953	7864	379
954	7872	370
955	7880	362
956	7887	354
957	7895	346
958	7902	337
959	7910	329
960	7917	321
961	7924	313
962	7931	304
963	7939	296
964	7946	288
965	7954	279
966	7961	271
967	7969	263
968	7976	255
969	7984	246
970	7992	238
971	8000	230
972	8007	222
973	8014	213
974	8022	205
975	8029	197
976	8037	189
977	8044	180
978	8052	172
979	8060	164
980	8068	156
981	8076	148
982	8084	139
983	8092	131
984	8100	123
985	8108	115
986	8117	106
987	8125	98
988	8133	90
989	8143	82
990	8152	74
991	8161	65
992	8170	57
993	8179	49
994	8187	41
995	8195	32
996	8202	24
997	8210	16
998	8218	8
999	8226	0
