iter	Logloss
0	0.6675137939
1	0.6428218994
2	0.6203110352
3	0.5991524658
4	0.5793439941
5	0.5606949463
6	0.543230835
7	0.5259971313
8	0.5106665649
9	0.4962259216
10	0.4827922058
11	0.4699081421
12	0.4569060669
13	0.4458647766
14	0.4354981079
15	0.4257481689
16	0.4165535583
17	0.4079934998
18	0.399987854
19	0.3922810364
20	0.3840878601
21	0.3775106506
22	0.3712663269
23	0.365444458
24	0.3599410095
25	0.3531459961
26	0.3484206543
27	0.343928833
28	0.3397563782
29	0.3351251221
30	0.3313704224
31	0.3278357849
32	0.3239619751
33	0.3202978516
34	0.3167284546
35	0.3138704224
36	0.3113417358
37	0.308225708
38	0.3049296875
39	0.3023167114
40	0.3003001709
41	0.2984859009
42	0.296177002
43	0.2945817871
44	0.2924800415
45	0.2906035767
46	0.2887470703
47	0.2873574829
48	0.2851681824
49	0.2840306396
50	0.2820279541
51	0.2810723572
52	0.2795136108
53	0.27842099
54	0.2768199158
55	0.2752265015
56	0.2737825317
57	0.2730884705
58	0.2724202576
59	0.2714306641
60	0.2701399536
61	0.2690113525
62	0.2682859802
63	0.2670144043
64	0.2659175415
65	0.2647122803
66	0.2639265747
67	0.2628614502
68	0.2624854126
69	0.2614830933
70	0.260899292
71	0.2601137085
72	0.2593806763
73	0.2586521606
74	0.2578599243
75	0.2572102051
76	0.2563934326
77	0.2559161224
78	0.25521492
79	0.2546694641
80	0.2542277069
81	0.2536097717
82	0.2529533081
83	0.2525730286
84	0.2521757813
85	0.2518173981
86	0.2509894257
87	0.2504895325
88	0.2499251099
89	0.2494377441
90	0.2488328247
91	0.248296936
92	0.2478046722
93	0.2473116455
94	0.2469748535
95	0.2466248932
96	0.2463347168
97	0.2458406372
98	0.2454413605
99	0.2451617432
100	0.2448425293
101	0.244736969
102	0.2442732849
103	0.2437224426
104	0.243381546
105	0.2430069427
106	0.2427266693
107	0.2422757874
108	0.2420446472
109	0.2418782806
110	0.2415578918
111	0.2411541138
112	0.2408514099
113	0.2404839478
114	0.2400582886
115	0.2399744873
116	0.2399254761
117	0.2397795105
118	0.2395205688
119	0.2392681274
120	0.2390522156
121	0.2387321777
122	0.2386911926
123	0.2385499725
124	0.2382389832
125	0.2379799347
126	0.2378824158
127	0.2377026062
128	0.2375453796
129	0.2374099884
130	0.2371963196
131	0.2370171204
132	0.2367620087
133	0.236566803
134	0.2365074768
135	0.2364677429
136	0.2362822876
137	0.2361021729
138	0.2358970337
139	0.2358817749
140	0.2356020355
141	0.2354781952
142	0.2353030701
143	0.2352813263
144	0.2350630951
145	0.234877533
146	0.2347582092
147	0.2346049652
148	0.2344882202
149	0.234347641
150	0.2343340454
151	0.2341852112
152	0.2340495911
153	0.2339966583
154	0.233847702
155	0.2337070465
156	0.2336918793
157	0.2335430908
158	0.2332684631
159	0.2332509155
160	0.2331339417
161	0.2330119019
162	0.232990509
163	0.2328363342
164	0.2326843567
165	0.232661087
166	0.2325613708
167	0.2324350586
168	0.2323139343
169	0.2322760315
170	0.2321774902
171	0.2320830078
172	0.2319009399
173	0.2318739624
174	0.2318132324
175	0.231743103
176	0.2315580597
177	0.2313355103
178	0.2312518311
179	0.2310727844
180	0.2310418091
181	0.2308223724
182	0.2308010254
183	0.2305724335
184	0.2305001526
185	0.2303022766
186	0.2300296783
187	0.2297972717
188	0.2294163361
189	0.2292928925
190	0.2291831665
191	0.2291711426
192	0.228907135
193	0.2288371887
194	0.2284878693
195	0.2283735962
196	0.2280770874
197	0.2279548187
198	0.2279442902
199	0.2277522583
200	0.2277168274
201	0.2276379089
202	0.227490509
203	0.2273099213
204	0.2272568817
205	0.2272416382
206	0.2271090546
207	0.2270478821
208	0.2268558655
209	0.2268463135
210	0.2267818298
211	0.2267724304
212	0.2265397339
213	0.2264806061
214	0.2264515381
215	0.2262831726
216	0.2262010498
217	0.2261192017
218	0.2260655212
219	0.2260387115
220	0.2259612427
221	0.2259495239
222	0.2256350708
223	0.2256044312
224	0.225460556
225	0.2253181763
226	0.225264679
227	0.2250959167
228	0.2250127258
229	0.224895874
230	0.2248095245
231	0.2245845337
232	0.2245185699
233	0.2244347382
234	0.2243774261
235	0.2242730103
236	0.2242122803
237	0.2241720276
238	0.2241449585
239	0.2241024323
240	0.2239596863
241	0.2239497681
242	0.2239060364
243	0.2238468323
244	0.2236574707
245	0.2235094604
246	0.2231804199
247	0.2230774841
248	0.2229998474
249	0.222972168
250	0.222797821
251	0.2227615509
252	0.2226540222
253	0.2225736847
254	0.2225319672
255	0.222494812
256	0.2224205017
257	0.2222397461
258	0.2221580353
259	0.2221057892
260	0.2220653381
261	0.2220473175
262	0.2218556519
263	0.2218448181
264	0.2217939758
265	0.2217723389
266	0.2217184906
267	0.2216386261
268	0.2215898437
269	0.2215567627
270	0.2214179382
271	0.2212963562
272	0.221144043
273	0.2209904327
274	0.2208362122
275	0.2207808685
276	0.2207011414
277	0.2205619507
278	0.2203458557
279	0.2200218811
280	0.2198727112
281	0.2198164978
282	0.2197572632
283	0.2197062378
284	0.2196886597
285	0.2196084595
286	0.2193838959
287	0.2193161011
288	0.2192524261
289	0.2191699371
290	0.2189302673
291	0.218839798
292	0.2187521057
293	0.2186624756
294	0.218609314
295	0.2185469666
296	0.2184940491
297	0.2181773682
298	0.2180038605
299	0.2179649658
300	0.2177884216
301	0.2177319794
302	0.2176598358
303	0.2176453247
304	0.2175179749
305	0.2174892273
306	0.2174137421
307	0.2173244171
308	0.217312027
309	0.2172388306
310	0.2171066589
311	0.2169916534
312	0.2166984558
313	0.2166825256
314	0.2165950012
315	0.2163839111
316	0.2162884827
317	0.2161520081
318	0.2161330566
319	0.2160753784
320	0.2160664673
321	0.2158420105
322	0.2157451782
323	0.215670639
324	0.2156220703
325	0.2154558411
326	0.2152634888
327	0.2151583862
328	0.2149797974
329	0.2148982239
330	0.2148422852
331	0.2148199158
332	0.2146591492
333	0.2146017609
334	0.2145906677
335	0.2145259399
336	0.2145175934
337	0.2143120728
338	0.2142063293
339	0.2140664978
340	0.2140599976
341	0.2139509583
342	0.213921463
343	0.2139102478
344	0.2138635406
345	0.2138196259
346	0.2135921631
347	0.2135001678
348	0.213492569
349	0.2133955841
350	0.2133305359
351	0.2131648254
352	0.2130643311
353	0.2128813171
354	0.2127304993
355	0.2125245056
356	0.2125104828
357	0.2123773193
358	0.2121426392
359	0.2120051727
360	0.2118871155
361	0.2118414459
362	0.2116421661
363	0.2115874939
364	0.211417572
365	0.2112271881
366	0.2110888977
367	0.2109471741
368	0.2107269745
369	0.2105340576
370	0.2103948517
371	0.210211853
372	0.2100500031
373	0.2100169373
374	0.2099972687
375	0.2098937073
376	0.2098677368
377	0.2096228943
378	0.2094157257
379	0.2093276367
380	0.2092280579
381	0.2092131958
382	0.2090394592
383	0.208913269
384	0.2088070984
385	0.2086185608
386	0.2084487915
387	0.2082441864
388	0.2081531067
389	0.2079375458
390	0.2077774048
391	0.2076373291
392	0.2075369263
393	0.2074911957
394	0.2073795013
395	0.2073138275
396	0.2071956329
397	0.2069824982
398	0.2068847961
399	0.2066238251
400	0.2065487823
401	0.2063787079
402	0.2063438873
403	0.2062104492
404	0.206059494
405	0.2058637543
406	0.2058204956
407	0.2056660919
408	0.2056341858
409	0.2056170349
410	0.2054134674
411	0.2052741699
412	0.2050625
413	0.2048615265
414	0.2046887512
415	0.2046331787
416	0.2045700531
417	0.2045451355
418	0.2043051147
419	0.2041203918
420	0.2039785461
421	0.2037902832
422	0.2035910339
423	0.2034230957
424	0.2032752533
425	0.2030267029
426	0.2028558655
427	0.2028294983
428	0.2026715088
429	0.2024788666
430	0.2022957153
431	0.202085907
432	0.2018457947
433	0.2017254639
434	0.2017118835
435	0.2014672241
436	0.2012165222
437	0.2009720306
438	0.2007839661
439	0.2006339417
440	0.2004615936
441	0.2003840942
442	0.2002451324
443	0.200199585
444	0.2000819244
445	0.2000677948
446	0.2000419617
447	0.1998203278
448	0.1996150818
449	0.1994459534
450	0.1992460327
451	0.1992355957
452	0.1990540924
453	0.1988428345
454	0.1986503296
455	0.1985385437
456	0.1983244324
457	0.198121994
458	0.1979483032
459	0.197794754
460	0.1976927185
461	0.1975076752
462	0.197198349
463	0.1971187897
464	0.1970047455
465	0.1969407501
466	0.1969296875
467	0.1967271118
468	0.1966602173
469	0.1965917053
470	0.1965606384
471	0.1964595032
472	0.1964251709
473	0.1962243195
474	0.1960068207
475	0.1959394836
476	0.1958253479
477	0.1958167419
478	0.195673233
479	0.1954082031
480	0.1953427429
481	0.1953240509
482	0.1950914917
483	0.1949594727
484	0.194840271
485	0.1946566772
486	0.1946289978
487	0.1945634766
488	0.1945503235
489	0.1943095856
490	0.1942801514
491	0.1941092529
492	0.1939831238
493	0.1938594208
494	0.1937655945
495	0.1937311707
496	0.1935897522
497	0.193425766
498	0.193354248
499	0.1933091736
500	0.1932557983
501	0.1932398834
502	0.193132843
503	0.1929869843
504	0.1928401794
505	0.1928313446
506	0.1926945496
507	0.1926763611
508	0.1925480347
509	0.1923706055
510	0.1921000977
511	0.1920308228
512	0.1920184174
513	0.1918780518
514	0.19172052
515	0.1916950684
516	0.1915834045
517	0.1914729004
518	0.1912705841
